Date of Race,Country,Track,Going,Type,Distance,Class,Time,Stall,Horse,Official Rating,Age,Pace,Weight,Jockey,Trainer,Headgear,SP Fav,Industry SP,Betfair SP,IP Min,IP Max,Pre Min,Pre Max,Forecasted Odds,Place,Winning Distance,Runners,SP Win Return,E/W Return,Betfair Win Return,Tick reduction,Tick inflation,% BSP reduction,% BSP inflation,Betfair Lay Return,Runs last 18 months,Wins Last 5 races,Avg % SP Drop Last 5 races,Avg % SP Drop last 18 mths,RBD Rating,RBD Rank,Total Prev Races,Days Since Last time out,Course Wins,Distance Wins,Class Wins,Going Wins,Last time out Position,Course Winner,Distance Winner,Up in Trip,Betfair Place SP,Placed in Betfair Market,Place Return,Place Lay Return,Betfair Rank
2025-07-22,GB,WOLVERHAMPTON,STD,Nursery,5f,5.0,19:00:00,5.0,Calafiori,67.0,2.0,6.0,9-7,Billy Loughnane,George Boughey,,1.0,2.1,,,,,,2.0, , ,5.0,,,0.0,-,-,0.0,,0.0,5.0,0.0,42.48,42.48,111.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Nursery,5f,5.0,19:00:00,4.0,Campenaerts,68.0,2.0,9.0,9-8,Luke Morris,Archie Watson,,3.0,4.5,,,,,,4.5, , ,5.0,,,0.0,-,-,0.0,,0.0,3.0,0.0,7.37,7.37,94.0,2.0,3.0,27.0,0.0,0.0,0.0,0.0,4.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Nursery,5f,5.0,19:00:00,2.0,Henrythenate,64.0,2.0,8.0,9-4,Stevie Donohoe,Charlie Fellowes,,2.0,3.75,,,,,,7.0, , ,5.0,,,0.0,-,-,0.0,,0.0,4.0,0.0,76.4,76.4,91.0,3.0,4.0,27.0,0.0,0.0,0.0,0.0,6.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Nursery,5f,5.0,19:00:00,1.0,Star Marian,64.0,2.0,7.0,9-4,John Fahy,David Loughnane,,5.0,29.0,,,,,,7.0, , ,5.0,,,0.0,-,-,0.0,,0.0,3.0,0.0,37.0,37.0,87.0,5.0,3.0,22.0,0.0,0.0,0.0,0.0,3.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Nursery,5f,5.0,19:00:00,3.0,Carefree Dream,67.0,2.0,8.0,9-7,Taylor Fisher,J S Moore,,4.0,10.0,,,,,,11.0, , ,5.0,,,0.0,-,-,0.0,,0.0,4.0,0.0,43.8,43.8,88.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,4.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,2.0,Lyra Lea,0.0,2.0,5.0,9-2,Lewis Edmunds,Rod Millman,,1.0,3.0,,,,,,3.0, , ,12.0,,,0.0,-,-,0.0,,0.0,1.0,0.0,-31.5,-31.5,105.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,2.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,1.0,Alices Influence,0.0,2.0,0.0,9-2,Stevie Donohoe,David Evans,,11.0,26.0,,,,,,26.0, , ,12.0,,,0.0,-,-,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NO,,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,7.0,Time For Action,0.0,2.0,0.0,9-2,Rob Hornby,David Flood,,12.0,51.0,,,,,,51.0, , ,12.0,,,0.0,-,-,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NO,,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,4.0,Jowalla,0.0,2.0,4.0,9-2,Pierre-Louis Jamin,Tom Dascombe,,2.0,4.5,,,,,,4.5, , ,12.0,,,0.0,-,-,0.0,,0.0,2.0,0.0,32.6,32.6,100.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,3.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,11.0,Lapidarist,0.0,2.0,0.0,9-2,Jason Watson,David Simcock,,3.0,9.0,,,,,,9.0, , ,12.0,,,0.0,-,-,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NO,,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,6.0,Space Bear,0.0,2.0,0.0,9-2,Luke Morris,Marco Botti,,4.0,11.0,,,,,,11.0, , ,12.0,,,0.0,-,-,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NO,,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,10.0,Truly Special,0.0,2.0,0.0,9-2,Ben Robinson,David O´Meara,,4.0,11.0,,,,,,11.0, , ,12.0,,,0.0,-,-,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NO,,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,8.0,Hala Samar,0.0,2.0,2.0,9-2,Alistair Rawlinson,Michael Appleby,,6.0,13.0,,,,,,13.0, , ,12.0,,,0.0,-,-,0.0,,0.0,1.0,0.0,34.5,34.5,84.0,3.0,1.0,19.0,0.0,0.0,0.0,0.0,4.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,9.0,Creciente,0.0,2.0,7.0,9-2,Finley Marsh,Rod Millman,,6.0,13.0,,,,,,13.0, , ,12.0,,,0.0,-,-,0.0,,0.0,1.0,0.0,-100.0,-100.0,75.0,4.0,1.0,49.0,0.0,0.0,0.0,0.0,4.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,3.0,Honeyforthebears,0.0,2.0,0.0,9-2,Elizabeth Gale,Dr Richard Newland & Jamie Insole,,8.0,15.0,,,,,,15.0, , ,12.0,,,0.0,-,-,0.0,,0.0,1.0,0.0,-100.0,-100.0,39.0,5.0,1.0,12.0,0.0,0.0,0.0,0.0,4.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,5.0,Sashay Away,0.0,2.0,0.0,9-2,Connor Planas,David Loughnane,,9.0,17.0,,,,,,17.0, , ,12.0,,,0.0,-,-,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NO,,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,7f,5.0,19:30:00,12.0,Deep Blue Dream,0.0,2.0,0.0,9-2,Gina Mangan,Dr Richard Newland & Jamie Insole,,9.0,17.0,,,,,,17.0, , ,12.0,,,0.0,-,-,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NO,,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,7.0,Dandy G Boy,60.0,3.0,9.0,9-9,Edward Greatrex,Warren Greatrex,,1.0,3.5,,,,,,3.5, , ,9.0,,,0.0,-,-,0.0,,0.0,8.0,0.0,21.74,17.04,88.0,2.0,8.0,42.0,0.0,0.0,0.0,0.0,4.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,1.0,Amber Honey,56.0,3.0,5.0,9-5,Cieren Fallon,Ed Dunlop,C,2.0,5.5,,,,,,5.5, , ,9.0,,,0.0,-,-,0.0,,0.0,10.0,1.0,45.06,21.47,87.0,3.0,10.0,27.0,1.0,0.0,1.0,1.0,6.0,YES,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,4.0,Arlecchinos Rex,54.0,3.0,5.0,9-3,Jason Watson,Mark Usher,,3.0,7.0,,,,,,7.0, , ,9.0,,,0.0,-,-,0.0,,0.0,11.0,0.0,-9.62,21.97,92.0,1.0,11.0,27.0,1.0,1.0,1.0,1.0,5.0,YES,YES,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,5.0,Freedom Bay,51.0,3.0,7.0,9-0,Rob Hornby,Stuart Kittow,H,4.0,7.5,,,,,,7.5, , ,9.0,,,0.0,-,-,0.0,,0.0,7.0,0.0,5.42,18.79,81.0,6.0,7.0,22.0,0.0,0.0,0.0,0.0,9.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,2.0,Blue Empress,59.0,3.0,8.0,9-8,Luke Morris,Archie Watson,B,4.0,7.5,,,,,,7.5, , ,9.0,,,0.0,-,-,0.0,,0.0,11.0,0.0,16.58,28.59,81.0,6.0,11.0,21.0,0.0,0.0,0.0,0.0,7.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,3.0,English Lady,58.0,3.0,2.0,9-7,Kieran O´Neill,Dean Ivory,,4.0,7.5,,,,,,7.5, , ,9.0,,,0.0,-,-,0.0,,0.0,6.0,0.0,44.86,54.05,83.0,5.0,6.0,45.0,0.0,1.0,0.0,1.0,4.0,NO,YES,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,6.0,Penelope Valentine,59.0,3.0,7.0,9-8,Sean D Bowen,Alice Haynes,C,7.0,9.0,,,,,,9.0, , ,9.0,,,0.0,-,-,0.0,,0.0,12.0,0.0,-0.8,35.39,84.0,4.0,12.0,24.0,0.0,1.0,1.0,0.0,7.0,NO,YES,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,9.0,Time After Time,46.0,3.0,2.0,8-9,Jack Dace,Heather Main,,8.0,15.0,,,,,,15.0, , ,9.0,,,0.0,-,-,0.0,,0.0,5.0,0.0,-8.25,-6.6,70.0,9.0,5.0,46.0,0.0,0.0,0.0,0.0,5.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,7f,6.0,20:00:00,8.0,Hot Frank,58.0,3.0,8.0,9-7,Marco Ghiani,Clare Hobson,,9.0,34.0,,,,,,34.0, , ,9.0,,,0.0,-,-,0.0,,0.0,6.0,0.0,2.35,-15.1,75.0,8.0,6.0,29.0,0.0,0.0,0.0,0.0,8.0,NO,NO,NO,, ,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,5.0,Ignition,53.0,3.0,5.0,9-3,Robert Havlin,Thomas Faulkner,,3.0,6.5,,,,,,4.5, , ,10.0,,,0.0,-,-,0.0,,0.0,9.0,0.0,28.06,24.16,79.0,2.0,9.0,61.0,0.0,0.0,0.0,0.0,4.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,6.0,Retraction,55.0,5.0,4.0,10-0,James Sullivan,Ruth Carr,,2.0,4.2,,,,,,4.5, , ,10.0,,,0.0,-,-,0.0,,0.0,12.0,0.0,-11.98,20.48,82.0,1.0,15.0,166.0,0.0,0.0,0.0,0.0,9.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,2.0,Max Stripes,45.0,5.0,4.0,9-4,Lewis Edmunds,Lisa Williamson,,10.0,41.0,,,,,,51.0, , ,10.0,,,0.0,-,-,0.0,,0.0,11.0,0.0,4.04,19.58,58.0,10.0,11.0,36.0,0.0,0.0,0.0,0.0,7.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,9.0,Skyelight,56.0,3.0,8.0,9-6,Kieran O´Neill,Dean Ivory,,3.0,6.5,,,,,,6.0, , ,10.0,,,0.0,-,-,0.0,,0.0,8.0,0.0,1.38,0.13,71.0,3.0,8.0,48.0,0.0,0.0,0.0,0.0,5.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,3.0,Brave Guest,53.0,3.0,4.0,9-3,Edward Greatrex,Jack Channon,,6.0,13.0,,,,,,7.0, , ,10.0,,,0.0,-,-,0.0,,0.0,3.0,0.0,19.03,19.03,63.0,8.0,3.0,22.0,0.0,0.0,0.0,0.0,7.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,7.0,Parisian Phoenix,57.0,3.0,3.0,9-7,Elizabeth Gale,Dr Richard Newland & Jamie Insole,,5.0,10.0,,,,,,8.0, , ,10.0,,,0.0,-,-,0.0,,0.0,3.0,0.0,-9.7,-9.7,63.0,8.0,3.0,15.0,0.0,0.0,0.0,0.0,4.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,4.0,Invincible Storm,45.0,3.0,9.0,8-9,Luke Morris,Ed de Giles,,7.0,17.0,,,,,,8.0, , ,10.0,,,0.0,-,-,0.0,,0.0,8.0,0.0,8.3,15.2,66.0,6.0,8.0,24.0,0.0,0.0,0.0,0.0,6.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,8.0,Popeye Doyle,58.0,3.0,6.0,9-8,Cieren Fallon,Hugo Palmer,TC,1.0,3.0,,,,,,11.0, , ,10.0,,,0.0,-,-,0.0,,0.0,4.0,0.0,-39.38,-39.38,70.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,9.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,1.0,Tobys Time,55.0,3.0,5.0,9-5,Billy Loughnane,Mark Loughnane,,9.0,26.0,,,,,,17.0, , ,10.0,,,0.0,-,-,0.0,,0.0,4.0,0.0,30.2,30.2,67.0,5.0,4.0,11.0,0.0,0.0,0.0,0.0,7.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Maiden,1m½f,6.0,20:30:00,10.0,Sunday Belle,49.0,4.0,6.0,9-8,Marco Ghiani,Ian Williams,,8.0,21.0,,,,,,21.0, , ,10.0,,,0.0,-,-,0.0,,0.0,2.0,0.0,42.8,42.8,66.0,6.0,4.0,56.0,0.0,0.0,0.0,0.0,11.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,7.0,Hidden Verse,57.0,3.0,9.0,9-4,Elizabeth Gale,Dr Richard Newland & Jamie Insole,,1.0,3.0,,,,,,3.0, , ,13.0,,,0.0,-,-,0.0,,0.0,11.0,2.0,58.84,11.66,99.0,2.0,11.0,5.0,0.0,0.0,1.0,0.0,1.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,10.0,Koji,54.0,4.0,4.0,9-6,Marco Ghiani,Ivan Furtado,C,10.0,21.0,,,,,,21.0, , ,13.0,,,0.0,-,-,0.0,,0.0,12.0,1.0,57.06,47.02,89.0,4.0,17.0,22.0,2.0,1.0,2.0,2.0,9.0,YES,YES,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,1.0,Jake Loves Laura,57.0,3.0,9.0,9-4,Luke Morris,Clare Hobson,,11.0,34.0,,,,,,34.0, , ,13.0,,,0.0,-,-,0.0,,0.0,10.0,0.0,-1.84,16.38,78.0,8.0,10.0,26.0,0.0,0.0,0.0,0.0,5.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,4.0,Bust A Moon,57.0,3.0,8.0,9-4,Charlie Bennett,Ian McInnes,H,12.0,51.0,,,,,,51.0, , ,13.0,,,0.0,-,-,0.0,,0.0,14.0,0.0,14.36,6.56,75.0,12.0,14.0,18.0,0.0,0.0,1.0,0.0,10.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,12.0,Noble Phoenix,62.0,3.0,7.0,9-9,Rob Hornby,David Flood,,12.0,51.0,,,,,,51.0, , ,13.0,,,0.0,-,-,0.0,,0.0,5.0,0.0,42.12,42.12,78.0,8.0,5.0,139.0,0.0,0.0,0.0,0.0,9.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,13.0,Fancy Dancer,62.0,3.0,5.0,9-9,Sean D Bowen,Ollie Sangster,,2.0,5.0,,,,,,5.0, , ,13.0,,,0.0,-,-,0.0,,0.0,6.0,2.0,40.94,35.63,106.0,1.0,6.0,27.0,1.0,1.0,2.0,1.0,1.0,YES,YES,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,5.0,Ballsgrove Boy,59.0,3.0,5.0,9-6,Billy Loughnane,Martin Dunne,,3.0,7.0,,,,,,7.0, , ,13.0,,,0.0,-,-,0.0,,0.0,13.0,1.0,43.18,22.59,92.0,3.0,13.0,19.0,0.0,1.0,1.0,0.0,2.0,NO,YES,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,9.0,South Dakota Sioux,62.0,5.0,6.0,10-0,Grace McEntee,John Butler,,4.0,9.0,,,,,,9.0, , ,13.0,,,0.0,-,-,0.0,,0.0,13.0,1.0,43.12,30.1,86.0,5.0,42.0,47.0,3.0,0.0,4.0,3.0,7.0,YES,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,2.0,Master Dandy,61.0,5.0,5.0,9-13,Cieren Fallon,Michael Keady,C,5.0,11.0,,,,,,11.0, , ,13.0,,,0.0,-,-,0.0,,0.0,13.0,0.0,19.4,-5.36,78.0,8.0,16.0,24.0,0.0,2.0,1.0,2.0,5.0,NO,YES,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,8.0,Early Release,59.0,3.0,6.0,9-6,Jordan Williams,David Evans,,6.0,13.0,,,,,,13.0, , ,13.0,,,0.0,-,-,0.0,,0.0,12.0,0.0,-78.58,-27.24,85.0,6.0,12.0,41.0,0.0,1.0,1.0,1.0,7.0,NO,YES,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,6.0,Dark Dreamer,62.0,4.0,6.0,10-0,Robert Havlin,Mike Murphy,,7.0,15.0,,,,,,15.0, , ,13.0,,,0.0,-,-,0.0,,0.0,12.0,0.0,-45.68,6.56,84.0,7.0,15.0,19.0,0.0,2.0,1.0,0.0,10.0,NO,YES,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,3.0,Macs Dilemma,61.0,7.0,6.0,9-13,James Turner,John O´Shea,H,8.0,17.0,,,,,,17.0, , ,13.0,,,0.0,-,-,0.0,,0.0,11.0,0.0,-2.03,19.65,72.0,13.0,49.0,20.0,1.0,2.0,3.0,1.0,7.0,YES,YES,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Other Handicap,6f,6.0,21:00:00,11.0,Not Just Yet,54.0,5.0,5.0,9-6,Gina Mangan,Nikki Evans,,8.0,17.0,,,,,,17.0, , ,13.0,,,0.0,-,-,0.0,,0.0,15.0,0.0,-1.96,15.63,77.0,11.0,31.0,46.0,0.0,0.0,0.0,0.0,5.0,NO,NO,YES,, ,0.0,0.0,
