Date of Race,Country,Track,Going,Type,Distance,Class,Time,Stall,Horse,Official Rating,Age,Pace,Weight,Jockey,Trainer,Headgear,SP Fav,Industry SP,Betfair SP,IP Min,IP Max,Pre Min,Pre Max,Forecasted Odds,Place,Winning Distance,Runners,SP Win Return,E/W Return,Betfair Win Return,Tick reduction,Tick inflation,% BSP reduction,% BSP inflation,Betfair Lay Return,Runs last 18 months,Wins Last 5 races,Avg % SP Drop Last 5 races,Avg % SP Drop last 18 mths,RBD Rating,RBD Rank,Total Prev Races,Days Since Last time out,Course Wins,Distance Wins,Class Wins,Going Wins,Last time out Position,Course Winner,Distance Winner,Up in Trip,Betfair Place SP,Placed in Betfair Market,Place Return,Place Lay Return,Betfair Rank
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,5.0,Zooks,50.0,5.0,3.0,11-4,Mr Bradley Furniss,Ian Williams,C,1.0,4.5,,,,,,4.0, , ,10.0,,,0.0,-,-,0.0,,0.0,18.0,0.0,34.44,36.74,61.0,2.0,22.0,20.0,0.0,0.0,1.0,0.0,4.0,NO,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,7.0,Irv,46.0,9.0,2.0,11-0,Miss Becky Smith,Micky Hammond,,3.0,5.5,,,,,,4.0, , ,10.0,,,0.0,-,-,0.0,,0.0,13.0,0.0,18.53,40.81,60.0,3.0,61.0,6.0,1.0,0.0,3.0,1.0,2.0,YES,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,8.0,Prince Hector,48.0,7.0,10.0,11-2,Miss Natasha Cookson,Jessica Bedi,C,9.0,26.0,,,,,,29.0, , ,10.0,,,0.0,-,-,0.0,,0.0,15.0,1.0,41.24,22.9,49.0,9.0,38.0,42.0,2.0,0.0,2.0,2.0,9.0,YES,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,11.0,Chef De Troupe,46.0,12.0,2.0,11-0,Mr Sam Burton,Tony Forbes,,10.0,36.0,,,,,,34.0, , ,10.0,,,0.0,-,-,0.0,,0.0,8.0,0.0,36.04,52.09,38.0,10.0,52.0,36.0,2.0,0.0,2.0,2.0,6.0,YES,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,2.0,Lawmans Blis,55.0,7.0,6.0,11-9,Mr Aiden Blakemore,Ian McInnes,T,6.0,8.0,,,,,,6.0, , ,10.0,,,0.0,-,-,0.0,,0.0,18.0,0.0,16.3,52.86,68.0,1.0,50.0,25.0,4.0,3.0,4.0,4.0,4.0,YES,YES,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,6.0,Edvard Grieg,52.0,4.0,8.0,11-6,Mr Fletcher Yarham,Dylan Cunha,,4.0,9.5,,,,,,8.5, , ,10.0,,,0.0,-,-,0.0,,0.0,16.0,1.0,-28.42,-28.81,52.0,6.0,18.0,14.0,0.0,0.0,1.0,0.0,8.0,NO,NO,YES,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,3.0,Endofastorm,52.0,6.0,7.0,11-6,Mr Frederick Tett,Joe Ponting,,8.0,13.0,,,,,,11.0, , ,10.0,,,0.0,-,-,0.0,,0.0,11.0,1.0,21.36,22.23,52.0,6.0,29.0,13.0,1.0,0.0,3.0,1.0,4.0,YES,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,9.0,Arch Legend,51.0,4.0,8.0,11-5,Miss Charli Parker,Ruth Carr,,5.0,7.0,,,,,,11.0, , ,10.0,,,0.0,-,-,0.0,,0.0,17.0,0.0,33.8,34.54,53.0,5.0,20.0,12.0,1.0,0.0,2.0,1.0,5.0,YES,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,10.0,Baileys Warrior,55.0,7.0,7.0,11-9,Mr Paul Hainey,Thomas Faulkner,H,7.0,9.5,,,,,,11.0, , ,10.0,,,0.0,-,-,0.0,,0.0,12.0,1.0,23.76,44.48,56.0,4.0,33.0,276.0,1.0,0.0,2.0,2.0,6.0,YES,NO,NO,, ,0.0,0.0,
2025-07-22,GB,WOLVERHAMPTON,STD,Amateur,1m6f,6.0,18:30:00,1.0,Forglen,46.0,4.0,3.0,11-0,Mr Patrick Millman,William Stone,,2.0,4.75,,,,,,11.0, , ,10.0,,,0.0,-,-,0.0,,0.0,10.0,0.0,-24.36,-1.58,50.0,8.0,10.0,43.0,0.0,0.0,0.0,0.0,7.0,NO,NO,NO,, ,0.0,0.0,
